mix_type,mix,cpu,trace,l1d_flush_stall_cycles,l1d_flush_stall_ns,l2c_flush_stall_cycles,l2c_flush_stall_ns
mix16,mix16_9,5,654.roms_s-842B.champsimtrace.xz,306,90.0,11446,3366.471
mix16,mix16_9,6,603.bwaves_s-3699B.champsimtrace.xz,527,155.0,18627,5478.529
mix16,mix16_9,7,641.leela_s-1083B.champsimtrace.xz,253,74.412,11542,3394.706
mix16,mix16_9,8,603.bwaves_s-3699B.champsimtrace.xz,527,155.0,18538,5452.353
mix16,mix16_9,9,648.exchange2_s-210B.champsimtrace.xz,196,57.647,4,1.176
mix16,mix16_9,10,648.exchange2_s-210B.champsimtrace.xz,196,57.647,4,1.176
mix16,mix16_9,11,607.cactuBSSN_s-3477B.champsimtrace.xz,0,0.0,3090,908.824
mix16,mix16_9,12,641.leela_s-1052B.champsimtrace.xz,190,55.882,2405,707.353
mix16,mix16_9,13,641.leela_s-602B.champsimtrace.xz,288,84.706,13069,3843.824
mix16,mix16_9,14,625.x264_s-12B.champsimtrace.xz,0,0.0,13501,3970.882
mix16,mix16_9,15,654.roms_s-1007B.champsimtrace.xz,357,105.0,7872,2315.294
